date,event_type,label,forecast_requests_mean,forecast_requests_p10,forecast_requests_p90
2026-06-02,FORECAST_POINT,,5423219.0,4857675.0,6054606.0
2026-06-03,FORECAST_POINT,,5417013.0,4847893.0,6052945.0
2026-06-04,FORECAST_POINT,,5368663.0,4800474.0,6004102.0
2026-06-05,FORECAST_POINT,,5367611.0,4795421.0,6008074.0
2026-06-06,FORECAST_POINT,,5267772.0,4702223.0,5901340.0
2026-06-07,FORECAST_POINT,,5277176.0,4706642.0,5916870.0
2026-06-08,FORECAST_POINT,,5328163.0,4748134.0,5979047.0
2026-06-08,LAUNCH,Capacity upgrade: lowered latency and throttling,,,
2026-06-09,FORECAST_POINT,,5489018.0,4887410.0,6164680.0
2026-06-10,FORECAST_POINT,,5482736.0,4877785.0,6162715.0
2026-06-11,FORECAST_POINT,,5433799.0,4830283.0,6112722.0
2026-06-12,FORECAST_POINT,,5432735.0,4825403.0,6116506.0
2026-06-13,FORECAST_POINT,,5331684.0,4731818.0,6007596.0
2026-06-14,FORECAST_POINT,,5341203.0,4736458.0,6023161.0
2026-06-15,FORECAST_POINT,,5392808.0,4778403.0,6086213.0
2026-06-16,FORECAST_POINT,,5555615.0,4918758.0,6274928.0
2026-06-17,FORECAST_POINT,,5549257.0,4909259.0,6272689.0
2026-06-18,FORECAST_POINT,,5499726.0,4861633.0,6221571.0
2026-06-19,FORECAST_POINT,,5498649.0,4856900.0,6225194.0
2026-06-20,FORECAST_POINT,,5396372.0,4762875.0,6114129.0
2026-06-21,FORECAST_POINT,,5406006.0,4767713.0,6129753.0
2026-06-22,FORECAST_POINT,,5458238.0,4810102.0,6193706.0
2026-06-23,FORECAST_POINT,,5623020.0,4951557.0,6385537.0
2026-06-24,FORECAST_POINT,,5616585.0,4942159.0,6383045.0
2026-06-25,FORECAST_POINT,,5566453.0,4894373.0,6330821.0
2026-06-26,FORECAST_POINT,,5565363.0,4889766.0,6334304.0
2026-06-27,FORECAST_POINT,,5461845.0,4795257.0,6221096.0
2026-06-28,FORECAST_POINT,,5471596.0,4800276.0,6236800.0
2026-06-29,FORECAST_POINT,,5524461.0,4843102.0,6301677.0
2026-06-30,FORECAST_POINT,,5691242.0,4985677.0,6496659.0
