date,api_requests_total,event_type,event_label
2025-03-28,310943,,
2025-03-29,302889,,
2025-03-30,309442,,
2025-03-31,304221,,
2025-04-01,364634,,
2025-04-02,305295,,
2025-04-03,336012,,
2025-04-04,350290,,
2025-04-05,329213,,
2025-04-06,349192,,
2025-04-07,355039,,
2025-04-08,343793,,
2025-04-09,360664,,
2025-04-10,374197,,
2025-04-11,387950,,
2025-04-12,341966,,
2025-04-13,361372,,
2025-04-14,368970,,
2025-04-15,347391,,
2025-04-16,334718,,
2025-04-17,359490,,
2025-04-18,355519,,
2025-04-19,318916,,
2025-04-20,363826,,
2025-04-21,396975,,
2025-04-22,394754,,
2025-04-23,361685,,
2025-04-24,373722,,
2025-04-25,364001,,
2025-04-26,369950,,
2025-04-27,371156,,
2025-04-28,396505,,
2025-04-29,393742,,
2025-04-30,431075,,
2025-05-01,411372,,
2025-05-02,411215,,
2025-05-03,395750,,
2025-05-04,433466,,
2025-05-05,418579,,
2025-05-06,440917,,
2025-05-07,411325,,
2025-05-08,454653,,
2025-05-09,438355,,
2025-05-10,382731,,
2025-05-11,444157,,
2025-05-12,416184,,
2025-05-13,424653,,
2025-05-14,464008,,
2025-05-15,471110,,
2025-05-16,458775,,
2025-05-17,436566,,
2025-05-18,434634,,
2025-05-19,465459,,
2025-05-20,459102,,
2025-05-21,454376,,
2025-05-22,506529,,
2025-05-23,474788,,
2025-05-24,491312,,
2025-05-25,501369,,
2025-05-26,510413,,
2025-05-27,505805,,
2025-05-28,469792,,
2025-05-29,478936,,
2025-05-30,480901,,
2025-05-31,464049,,
2025-06-01,498868,,
2025-06-02,478714,,
2025-06-03,531022,,
2025-06-04,547454,,
2025-06-05,534939,,
2025-06-06,550697,,
2025-06-07,439749,,
2025-06-08,505285,,
2025-06-09,545716,,
2025-06-10,543475,,
2025-06-11,547455,,
2025-06-12,542499,,
2025-06-13,541497,,
2025-06-14,522891,,
2025-06-15,556108,,
2025-06-16,530159,,
2025-06-17,553306,,
2025-06-18,591273,,
2025-06-19,564040,,
2025-06-20,571970,,
2025-06-21,518597,,
2025-06-22,528837,,
2025-06-23,591770,,
2025-06-24,524614,,
2025-06-25,563102,,
2025-06-26,603395,,
2025-06-27,605145,,
2025-06-28,579981,,
2025-06-29,594210,,
2025-06-30,559942,,
2025-07-01,563488,,
2025-07-02,607513,,
2025-07-03,582494,,
2025-07-04,571431,,
2025-07-05,592510,,
2025-07-06,614256,,
2025-07-07,656416,,
2025-07-08,642930,,
2025-07-09,632104,,
2025-07-10,706692,,
2025-07-11,642366,,
2025-07-12,611848,,
2025-07-13,616297,,
2025-07-14,664000,,
2025-07-15,666566,,
2025-07-16,687026,,
2025-07-17,658389,,
2025-07-18,701904,,
2025-07-19,686084,,
2025-07-20,684701,,
2025-07-21,703837,,
2025-07-22,696201,,
2025-07-23,777178,,
2025-07-24,722199,,
2025-07-25,785071,,
2025-07-26,765545,,
2025-07-27,636227,,
2025-07-28,778490,,
2025-07-29,752301,,
2025-07-30,716492,,
2025-07-31,781181,,
2025-08-01,787607,,
2025-08-02,740184,,
2025-08-03,763387,,
2025-08-04,773326,,
2025-08-05,780415,,
2025-08-06,855036,,
2025-08-07,808135,,
2025-08-08,759902,,
2025-08-09,680783,,
2025-08-10,739995,,
2025-08-11,752589,,
2025-08-12,777634,,
2025-08-13,838883,,
2025-08-14,805386,,
2025-08-15,806283,,
2025-08-16,782182,,
2025-08-17,875523,,
2025-08-18,915964,,
2025-08-19,860510,,
2025-08-20,838609,,
2025-08-21,879575,,
2025-08-22,815367,,
2025-08-23,774453,,
2025-08-24,828033,,
2025-08-25,852179,,
2025-08-26,866890,,
2025-08-27,891785,,
2025-08-28,895679,,
2025-08-29,928875,,
2025-08-30,825590,,
2025-08-31,869342,,
2025-09-01,930595,,
2025-09-02,963487,,
2025-09-03,933002,,
2025-09-04,887478,,
2025-09-05,842910,,
2025-09-06,882589,,
2025-09-07,835856,,
2025-09-08,944205,,
2025-09-09,961025,,
2025-09-10,918968,,
2025-09-11,984623,,
2025-09-12,1003557,,
2025-09-13,886468,,
2025-09-14,929042,,
2025-09-15,976609,,
2025-09-16,900640,,
2025-09-17,966996,,
2025-09-18,1030172,,
2025-09-19,1021030,,
2025-09-20,1014321,,
2025-09-21,929298,,
2025-09-22,1021164,,
2025-09-23,1005174,,
2025-09-24,1031100,,
2025-09-25,1034481,,
2025-09-26,1081329,,
2025-09-27,1047729,,
2025-09-28,1055427,,
2025-09-29,1067483,,
2025-09-30,1121762,,
2025-10-01,1072047,,
2025-10-02,1123228,,
2025-10-03,1204376,,
2025-10-04,1160675,,
2025-10-05,1107739,,
2025-10-06,1085348,,
2025-10-07,1182239,,
2025-10-08,1277657,,
2025-10-09,1226409,,
2025-10-10,1214894,,
2025-10-11,1143261,,
2025-10-12,1129218,,
2025-10-13,1137347,,
2025-10-14,1196703,,
2025-10-15,1167278,,
2025-10-16,1264670,,
2025-10-17,1294947,,
2025-10-18,1171884,,
2025-10-19,1148657,,
2025-10-20,1214068,,
2025-10-21,1261890,,
2025-10-22,1326689,,
2025-10-23,1301202,,
2025-10-24,1135595,,
2025-10-25,1208348,,
2025-10-26,1371722,,
2025-10-27,1330205,,
2025-10-28,1344289,,
2025-10-29,1358414,,
2025-10-30,1294948,,
2025-10-31,1229593,,
2025-11-01,1350942,,
2025-11-02,1176507,,
2025-11-03,1415190,,
2025-11-04,1380544,,
2025-11-05,1508569,LAUNCH,New enterprise feature launch
2025-11-06,1408980,,
2025-11-07,1545701,,
2025-11-08,1387175,,
2025-11-09,1393154,,
2025-11-10,1490582,,
2025-11-11,1546474,,
2025-11-12,1523782,,
2025-11-13,1588297,,
2025-11-14,1690300,,
2025-11-15,1573455,,
2025-11-16,1490734,,
2025-11-17,1714718,,
2025-11-18,1602856,,
2025-11-19,1597497,,
2025-11-20,1804176,,
2025-11-21,1694819,,
2025-11-22,1528010,,
2025-11-23,1694159,,
2025-11-24,1752432,,
2025-11-25,1801728,,
2025-11-26,1788493,,
2025-11-27,1646070,,
2025-11-28,1723159,,
2025-11-29,1799511,,
2025-11-30,1640596,,
2025-12-01,1754648,,
2025-12-02,1751920,,
2025-12-03,1751256,,
2025-12-04,1872627,,
2025-12-05,1869139,,
2025-12-06,1770476,,
2025-12-07,1776907,,
2025-12-08,1824277,,
2025-12-09,1957727,,
2025-12-10,2029253,,
2025-12-11,1994657,,
2025-12-12,1859199,,
2025-12-13,1888859,,
2025-12-14,1875680,,
2025-12-15,1943078,,
2025-12-16,1868804,,
2025-12-17,1946714,,
2025-12-18,2020229,,
2025-12-19,1979836,,
2025-12-20,1853663,,
2025-12-21,1935733,,
2025-12-22,2034763,,
2025-12-23,1986265,,
2025-12-24,2150921,,
2025-12-25,2174417,,
2025-12-26,2162919,,
2025-12-27,1903941,,
2025-12-28,2173921,,
2025-12-29,2272531,,
2025-12-30,2028443,,
2025-12-31,2169118,,
2026-01-01,2342018,,
2026-01-02,2347511,,
2026-01-03,1891564,,
2026-01-04,2078809,,
2026-01-05,2177032,,
2026-01-06,2235954,,
2026-01-07,2302390,,
2026-01-08,2465676,,
2026-01-09,2358655,,
2026-01-10,2260329,,
2026-01-11,2144647,,
2026-01-12,2463241,,
2026-01-13,2421016,,
2026-01-14,2381033,,
2026-01-15,2484129,,
2026-01-16,2393393,,
2026-01-17,2172404,,
2026-01-18,2219790,,
2026-01-19,2662867,,
2026-01-20,2537377,,
2026-01-21,2549683,,
2026-01-22,2890348,,
2026-01-23,2452271,,
2026-01-24,2412941,,
2026-01-25,2403301,,
2026-01-26,2485080,,
2026-01-27,2653268,,
2026-01-28,2614797,,
2026-01-29,2705938,,
2026-01-30,2358130,,
2026-01-31,2633460,,
2026-02-01,2672186,,
2026-02-02,2868024,,
2026-02-03,2698144,,
2026-02-04,2801153,,
2026-02-05,2660731,,
2026-02-06,2533941,,
2026-02-07,2948527,,
2026-02-08,2731551,,
2026-02-09,2868066,,
2026-02-10,3005371,,
2026-02-11,2717527,,
2026-02-12,2797185,,
2026-02-13,3177883,,
2026-02-14,2879280,,
2026-02-15,3140765,,
2026-02-16,3040935,,
2026-02-17,3293261,,
2026-02-18,3034538,,
2026-02-19,3089977,,
2026-02-20,3024843,,
2026-02-21,3023374,,
2026-02-22,2947447,,
2026-02-23,2973759,,
2026-02-24,3021214,,
2026-02-25,3288974,,
2026-02-26,3040545,,
2026-02-27,3166250,,
2026-02-28,2917312,,
2026-03-01,3154087,,
2026-03-02,3230168,,
2026-03-03,3524262,,
2026-03-04,3356612,,
2026-03-05,3480391,,
2026-03-06,3201287,,
2026-03-07,3328357,,
2026-03-08,2898614,,
2026-03-09,3594583,,
2026-03-10,3636564,INFRA,Capacity upgrade removed throttling
2026-03-11,3836467,,
2026-03-12,3366597,,
2026-03-13,3671875,,
2026-03-14,3239027,,
2026-03-15,3498203,,
2026-03-16,3660023,,
2026-03-17,3604404,,
2026-03-18,3516516,,
2026-03-19,3962137,,
2026-03-20,4014265,,
2026-03-21,3666316,,
2026-03-22,3900473,,
2026-03-23,3971670,,
2026-03-24,3935560,,
2026-03-25,3913552,,
2026-03-26,4274354,,
2026-03-27,3939546,,
2026-03-28,3927106,,
2026-03-29,3891246,,
2026-03-30,3982900,,
2026-03-31,4267217,,
2026-04-01,3926247,,
2026-04-02,4281972,,
2026-04-03,3761004,,
2026-04-04,3821818,,
2026-04-05,3969573,,
2026-04-06,4359791,,
2026-04-07,4559685,,
2026-04-08,4213051,,
2026-04-09,4418824,,
2026-04-10,4308913,,
2026-04-11,4298567,,
2026-04-12,4518302,,
2026-04-13,4991767,,
2026-04-14,4759441,,
2026-04-15,4783975,,
2026-04-16,4359990,,
2026-04-17,4726293,,
2026-04-18,4306983,,
2026-04-19,4428604,,
2026-04-20,5024861,,
2026-04-21,4752156,,
2026-04-22,4697047,,
2026-04-23,4591201,,
2026-04-24,4843471,,
2026-04-25,4631123,,
2026-04-26,5042670,,
2026-04-27,4805776,,
2026-04-28,5217193,,
2026-04-29,5459599,,
2026-04-30,4973241,,
2026-05-01,4627256,,
2026-05-02,4789661,,
2026-05-03,5325652,,
2026-05-04,5181687,,
2026-05-05,5310649,,
2026-05-06,5633897,,
2026-05-07,5354044,,
2026-05-08,4778693,,
2026-05-09,5527377,,
2026-05-10,4872136,,
2026-05-11,5638995,,
2026-05-12,5662793,,
2026-05-13,5637375,,
2026-05-14,5160770,,
2026-05-15,5880140,,
2026-05-16,5279791,,
2026-05-17,4719683,,
2026-05-18,5498294,,
2026-05-19,5508003,,
2026-05-20,5903379,,
2026-05-21,5386768,,
2026-05-22,5357262,,
2026-05-23,5700231,,
2026-05-24,6068533,,
2026-05-25,6107431,,
2026-05-26,5829700,,
2026-05-27,5951619,,
2026-05-28,6053307,,
2026-05-29,6158669,,
2026-05-30,6165838,,
2026-05-31,5677659,,
2026-06-01,6703055,,
2026-06-02,6898297,,
2026-06-03,6422447,,
2026-06-04,7179463,,
2026-06-05,6564785,,
2026-06-06,6262734,,
2026-06-07,6885127,,
2026-06-08,6348580,,
2026-06-09,7326143,,
2026-06-10,6394008,,
2026-06-11,6805085,,
2026-06-12,7094760,,
2026-06-13,6410101,,
2026-06-14,6501626,,
2026-06-15,6532345,,
2026-06-16,7009870,,
2026-06-17,7364687,,
2026-06-18,7112686,,
2026-06-19,7546200,,
2026-06-20,6771583,,
2026-06-21,7089350,,
2026-06-22,7215459,,
2026-06-23,7961090,,
2026-06-24,7160066,,
2026-06-25,7477546,,
2026-06-26,7807113,,
2026-06-27,6591697,,
2026-06-28,7685688,,
2026-06-29,7814074,,
2026-06-30,7750864,,
